Frecuencia,Vin,Vout
1,1,0.999997533
1.1,1,0.999997014
1.21,1,0.999996387
1.331,1,0.999995629
1.4641,1,0.999994711
1.61051,1,0.9999936
1.771561,1,0.999992256
1.9487171,1,0.99999063
2.14358881,1,0.999988662
2.357947691,1,0.999986282
2.59374246,1,0.999983401
2.853116706,1,0.999979915
3.138428377,1,0.999975697
3.452271214,1,0.999970594
3.797498336,1,0.999964419
4.177248169,1,0.999956947
4.594972986,1,0.999947907
5.054470285,1,0.999936968
5.559917313,1,0.999923732
6.115909045,1,0.999907717
6.727499949,1,0.99988834
7.400249944,1,0.999864894
8.140274939,1,0.999836527
8.954302433,1,0.999802204
9.849732676,1,0.999760677
10.83470594,1,0.999710434
11.91817654,1,0.999649646
13.10999419,1,0.999576103
14.42099361,1,0.99948713
15.86309297,1,0.999379494
17.44940227,1,0.999249286
19.1943425,1,0.999091779
21.11377675,1,0.998901262
23.22515442,1,0.998670834
25.54766986,1,0.998392157
28.10243685,1,0.998055167
30.91268053,1,0.997647713
34.00394859,1,0.997155138
37.40434344,1,0.996559772
41.14477779,1,0.99584033
45.25925557,1,0.994971192
49.78518112,1,0.993921561
54.76369924,1,0.992654465
60.24006916,1,0.991125592
66.26407608,1,0.989281941
72.89048369,1,0.987060274
80.17953205,1,0.984385361
88.19748526,1,0.981168039
97.01723378,1,0.977303087
106.7189572,1,0.972667013
117.3908529,1,0.967115839
129.1299382,1,0.960483056
142.042932,1,0.952578032
156.2472252,1,0.943185215
171.8719477,1,0.932064654
189.0591425,1,0.918954462
207.9650567,1,0.903575993
228.7615624,1,0.88564258
251.6377186,1,0.864872613
276.8014905,1,0.841007551
304.4816395,1,0.813834895
334.9298035,1,0.783215348
368.4227838,1,0.749112182
405.2650622,1,0.711619484
445.7915685,1,0.670984711
490.3707253,1,0.627620403
539.4077978,1,0.582100323
593.3485776,1,0.53513725
652.6834354,1,0.487542752
717.9517789,1,0.440173076
789.7469568,1,0.393868461
868.7216525,1,0.349394824
955.5938177,1,0.30739618
1051.1532,1,0.268363558
1156.268519,1,0.232622576
1271.895371,1,0.20033822
1399.084909,1,0.17153288
1538.993399,1,0.146112505
1692.892739,1,0.123895935
1862.182013,1,0.104643441
2048.400215,1,0.08808186
2253.240236,1,0.073925012
2478.56426,1,0.061889086
2726.420686,1,0.051703355
2999.062754,1,0.043116947
3298.96903,1,0.035902503
3628.865933,1,0.029857533
3991.752526,1,0.024804179
4390.927778,1,0.02058795
4830.020556,1,0.017075849
5313.022612,1,0.014154219
